CodLift;DataEvent;Flags;Num;Name
150;2020-02-05 16:05:09.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 16:05:09.000;16;165;Открыто МП
150;2020-02-05 16:10:48.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 16:10:48.000;18;165;Открыто МП
150;2020-02-05 16:10:48.000;16;213;Нет связи
150;2020-02-05 16:15:43.000;18;161;Авария привода дверей
150;2020-02-05 16:15:43.000;2;41;Кабина на 2 этаже
150;2020-02-05 16:24:47.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 16:24:47.000;16;161;Авария привода дверей
150;2020-02-05 16:24:47.000;16;165;Открыто МП
150;2020-02-05 16:24:47.000;18;165;Открыто МП
150;2020-02-05 16:24:49.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 16:25:07.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 16:25:07.000;16;165;Открыто МП
150;2020-02-05 16:25:09.000;18;165;Открыто МП
150;2020-02-05 17:04:17.000;18;161;Авария привода дверей
150;2020-02-05 17:04:18.000;2;41;Кабина на 1 этаже
150;2020-02-05 17:04:20.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 17:17:10.000;16;165;Открыто МП
150;2020-02-05 17:17:10.000;18;165;Открыто МП
150;2020-02-05 17:24:49.000;18;213;Нет связи
150;2020-02-05 17:24:49.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 17:24:49.000;16;161;Авария привода дверей
150;2020-02-05 17:24:49.000;16;165;Открыто МП
150;2020-02-05 17:36:29.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 17:36:29.000;18;161;Авария привода дверей
150;2020-02-05 17:36:29.000;16;213;Нет связи
150;2020-02-05 17:36:29.000;2;41;Кабина на 1 этаже
150;2020-02-05 19:24:33.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 19:24:33.000;16;161;Авария привода дверей
150;2020-02-05 19:24:36.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 19:25:03.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 19:25:37.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 20:39:10.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-06 08:55:57.000;18;144;Не закрыта дверь кабины
150;2020-02-06 08:55:58.000;2;41;Кабина на 1 этаже
150;2020-02-06 08:56:25.000;16;144;Не закрыта дверь кабины
150;2020-02-06 09:20:29.000;18;213;Нет связи
150;2020-02-06 09:22:29.000;16;213;Нет связи
150;2020-02-06 09:43:21.000;18;144;Не закрыта дверь кабины
150;2020-02-06 09:43:22.000;16;144;Не закрыта дверь кабины
150;2020-02-06 09:43:25.000;2;41;Кабина на 25 этаже
150;2020-02-06 10:09:49.000;18;213;Нет связи
150;2020-02-06 10:16:45.000;16;213;Нет связи
50;2020-02-06 10:34:19.000;18;128;22 - Режим погрузки
50;2020-02-06 10:35:25.000;16;128;22 - Режим погрузки
150;2020-02-06 11:26:29.000;18;213;Нет связи
150;2020-02-06 11:36:28.000;16;213;Нет связи
150;2020-02-06 12:25:31.000;18;128;248 - Режим «Погрузка»
150;2020-02-06 12:27:29.000;16;128;248 - Режим «Погрузка»
150;2020-02-06 12:27:37.000;18;165;Открыто МП
150;2020-02-06 12:27:37.000;18;131;Проникновение в МП
150;2020-02-06 12:27:46.000;16;131;Проникновение в МП
150;2020-02-06 12:27:46.000;18;128;247 - Ревизия
150;2020-02-06 12:40:44.000;16;128;247 - Ревизия
